id,cris_crash_id,crash_fatal_fl,case_id,rpt_block_num,rpt_street_name,rpt_street_sfx,crash_speed_limit,road_constr_zone_fl,latitude,longitude,crash_sev_id,sus_serious_injry_cnt,nonincap_injry_cnt,poss_injry_cnt,non_injry_cnt,unkn_injry_cnt,tot_injry_cnt,death_cnt,units_involved,point,motor_vehicle_death_count,motor_vehicle_serious_injury_count,bicycle_death_count,bicycle_serious_injury_count,pedestrian_death_count,pedestrian_serious_injury_count,motorcycle_death_count,motorcycle_serious_injury_count,other_death_count,other_serious_injury_count,onsys_fl,private_dr_fl,micromobility_serious_injury_count,micromobility_death_count,crash_timestamp_ct,crash_timestamp,is_deleted,is_temp_record,law_enf_fatality_count,est_comp_cost_crash_based,est_total_person_comp_cost,location_id,location_group,address_display
1787437,21120201.0,False,253030745,1209,W ANDERSON LN,,45.0,0.0,30.35002976,-97.71800747,3,0,0,1,1,0,1,0,Large passenger vehicle,"{'type': 'Point', 'coordinates': [-97.71800747, 30.35002976]}",0,0,0,0,0,0,0,0,0,0,False,False,0,0,2025-10-30T12:06:00.000,2025-10-30T17:06:00.000,False,False,0,200000,220000,1F8C1405EA,1.0,W ANDERSON LN & N ANDERSON SQ
1785326,21088438.0,False,252961000,1100,W ANDERSON,LN,35.0,0.0,30.34946476,-97.71683247,5,0,0,0,2,0,0,0,Passenger car,"{'type': 'Point', 'coordinates': [-97.71683247, 30.34946476]}",0,0,0,0,0,0,0,0,0,0,False,False,0,0,2025-10-23T15:50:00.000,2025-10-23T20:50:00.000,False,False,0,20000,40000,B652950251,1.0,W ANDERSON LN & ANDERSON SQ
1783241,21052820.0,False,252800464,7900,ANDESRON SQUARE,,40.0,0.0,30.34967559,-97.71728434,3,0,0,1,1,0,1,0,Large passenger vehicle & Passenger car,"{'type': 'Point', 'coordinates': [-97.71728434, 30.34967559]}",0,0,0,0,0,0,0,0,0,0,False,False,0,0,2025-10-07T10:09:00.000,2025-10-07T15:09:00.000,False,False,0,200000,220000,1F8C1405EA,1.0,W ANDESRON SQUARE & W ANDESRON LN
1362453,20796276.0,False,251270373,9700,ANDERSON MILL,RD,45.0,0.0,30.34987958,-97.71708618,5,0,0,0,2,0,0,0,Large passenger vehicle & Passenger car,"{'type': 'Point', 'coordinates': [-97.71708618, 30.34987958]}",0,0,0,0,0,0,0,0,0,0,False,False,0,0,2025-05-07T07:55:00.000,2025-05-07T12:55:00.000,False,False,0,20000,40000,,,9700 ANDERSON MILL RD
1361914,20787533.0,False,251210647,,W ANDERSON LN,,-1.0,0.0,30.34919476,-97.71628247,3,0,0,1,2,0,1,0,Passenger car,"{'type': 'Point', 'coordinates': [-97.71628247, 30.34919476]}",0,0,0,0,0,0,0,0,0,0,False,False,0,0,2025-05-01T12:02:00.000,2025-05-01T17:02:00.000,False,False,0,200000,240000,B652950251,1.0,W ANDERSON LN & WATSON ST
1356717,20706866.0,False,250720441,1100,W ANDERSON LN,,30.0,0.0,30.34979244,-97.71723121,3,0,0,1,1,0,1,0,Bicycle & Large passenger vehicle,"{'type': 'Point', 'coordinates': [-97.71723121, 30.34979244]}",0,0,0,0,0,0,0,0,0,0,False,False,0,0,2025-03-13T08:27:00.000,2025-03-13T13:27:00.000,False,False,0,200000,220000,1F8C1405EA,1.0,W ANDERSON LN & ANDERSON SQ
1353171,20660565.0,False,250290943,1001,ANDERSON,LN,35.0,0.0,30.34933031,-97.71655857,5,0,0,0,2,0,0,0,Large passenger vehicle & Passenger car,"{'type': 'Point', 'coordinates': [-97.71655857, 30.34933031]}",0,0,0,0,0,0,0,0,0,0,False,False,0,0,2025-01-29T16:18:00.000,2025-01-29T22:18:00.000,False,False,0,20000,40000,B652950251,1.0,1001 W ANDERSON LN
1343311,20482639.0,False,243051550,1200,W ANDERSON LN EB,,35.0,0.0,30.35024159,-97.71847522,2,0,1,0,0,0,1,0,Motor vehicle – other & Passenger car,"{'type': 'Point', 'coordinates': [-97.71847522, 30.35024159]}",0,0,0,0,0,0,0,0,0,0,False,False,0,0,2024-10-31T22:37:00.000,2024-11-01T03:37:00.000,False,False,0,250000,250000,1A7EAAB9BE,1.0,1200 W ANDERSON LN EB
322485,20194478.0,False,241390836,9700,ANDERSON MILL RD,,40.0,0.0,30.35051671,-97.71644089,2,0,1,0,0,0,1,0,Passenger car,"{'type': 'Point', 'coordinates': [-97.71644089, 30.35051671]}",0,0,0,0,0,0,0,0,0,0,False,False,0,0,2024-05-18T13:45:00.000,2024-05-18T18:45:00.000,False,False,0,250000,250000,30AA422A6E,1.0,9700 ANDERSON MILL RD
315525,20056149.0,False,240610669,,GAULT,ST,35.0,0.0,30.35028476,-97.71857247,5,0,0,0,2,0,0,0,Passenger car,"{'type': 'Point', 'coordinates': [-97.71857247, 30.35028476]}",0,0,0,0,0,0,0,0,0,0,False,False,0,0,2024-03-01T12:35:00.000,2024-03-01T18:35:00.000,False,False,0,20000,40000,1A7EAAB9BE,1.0,GAULT ST & W ANDERSON LN
314929,20047190.0,False,240500756,1100,W ANDERSON LN,,45.0,0.0,30.34946476,-97.71683247,2,0,2,2,1,0,4,0,Large passenger vehicle & Passenger car,"{'type': 'Point', 'coordinates': [-97.71683247, 30.34946476]}",0,0,0,0,0,0,0,0,0,0,False,False,0,0,2024-02-19T14:29:00.000,2024-02-19T20:29:00.000,False,False,0,250000,920000,B652950251,1.0,W ANDERSON LN & ANDERSON SQ
